_id,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,circulating_supply,current_price,fully_diluted_valuation,high_24h,id,image,last_updated,low_24h,market_cap,market_cap_change_24h,market_cap_change_percentage_24h,market_cap_rank,max_supply,name,price_change_24h,price_change_percentage_24h,roi,roi.currency,roi.percentage,roi.times,symbol,total_supply,total_volume
token/bitcoin,69045.0,-58.46868,2021-11-10T14:24:11.849Z,67.81,42188.19294,2013-07-06T00:00:00.000Z,19038225.0,28918.0,607624728083.0,30121.0,bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,2022-05-12T23:13:10.787Z,26597.0,550861728038.0,1567726165.0,0.28541,1.0,21000000.0,Bitcoin,120.03,0.41681,,,,,btc,21000000.0,61397273693.0
token/ethereum,4878.26,-60.67544,2021-11-10T14:24:19.604Z,0.432979,442959.66798,2015-10-20T00:00:00.000Z,120753823.5615,1945.73,,2172.64,ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,2022-05-12T23:15:22.117Z,1774.8,236331092376.0,-13837027637.335785,-5.53109,2.0,,Ethereum,-124.95303684684244,-6.03437,,btc,8863.406314729,88.63406314729,eth,,41497474113.0
token/tether,1.32,-24.37193,2018-07-24T00:00:00.000Z,0.572521,74.77637,2015-03-02T00:00:00.000Z,81169594182.5776,0.997091,,1.011,tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,2022-05-12T23:12:34.399Z,0.98095,81060928624.0,-1629967087.0623932,-1.97116,3.0,,Tether,0.00031266,0.03137,,,,,usdt,81169594182.5776,134117728155.0
token/usd-coin,1.17,-14.49166,2019-05-08T00:40:28.300Z,0.891848,12.43638,2021-05-19T13:14:05.611Z,49702577551.1752,1.004,,1.056,usd-coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,2022-05-12T23:16:14.687Z,0.9931,49786971123.0,774026543.0,1.57923,4.0,,USD Coin,0.00454272,0.4544,,,,,usdc,49639881218.1827,25454657605.0
token/binancecoin,686.31,-61.29684,2021-05-10T07:24:17.097Z,0.0398177,666996.14068,2017-10-19T00:00:00.000Z,168137035.9,267.27,44965576272.0,281.73,binancecoin,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,2022-05-12T23:13:11.111Z,224.73,44965576272.0,489723924.0,1.1011,5.0,168137035.9,BNB,-3.970605905965101,-1.46386,,,,,bnb,168137035.9,5293417187.0
token/ripple,3.4,-88.84754,2018-01-07T00:00:00.000Z,0.00268621,14009.51902,2014-05-22T00:00:00.000Z,48343101197.0,0.383248,38156128153.0,0.429936,ripple,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,2022-05-12T23:16:07.292Z,0.35079,18445855646.0,-1790639864.4456024,-8.84857,6.0,100000000000.0,XRP,-0.0285419244015149,-6.93119,,,,,xrp,100000000000.0,4920493781.0
token/binance-usd,1.15,-13.12776,2020-03-13T02:35:42.953Z,0.901127,11.26985,2021-05-19T13:04:37.445Z,17123221507.91,0.999761,,1.073,binance-usd,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,2022-05-12T23:12:45.155Z,0.989087,17221855345.0,185663055.0,1.08982,7.0,,Binance USD,-0.0052542976021543,-0.52281,,,,,busd,17123221507.91,16832231861.0
token/cardano,3.09,-85.09121,2021-09-02T06:00:10.474Z,0.01925275,2290.41806,2020-03-13T02:22:55.044Z,33820262543.95,0.466641,20992145469.0,0.54478,cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,2022-05-12T23:12:57.558Z,0.408789,15776886025.0,-1161665671.5032065,-6.85812,8.0,45000000000.0,Cardano,-0.0497656400603152,-9.63691,,,,,ada,45000000000.0,2550586983.0
token/solana,259.96,-83.46068,2021-11-06T21:54:35.825Z,0.500801,8485.34299,2020-05-11T19:35:23.449Z,336923507.132563,43.87,,53.41,solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,2022-05-12T23:14:37.728Z,38.27,14729870885.0,-1572443442.3055935,-9.64552,9.0,,Solana,-4.925123858359008,-10.09318,,,,,sol,508180963.57,3795815381.0
token/dogecoin,0.731578,-88.94961,2021-05-08T05:08:23.458Z,8.69e-05,92924.98692,2015-05-06T00:00:00.000Z,132670764299.894,0.081531,,0.089014,dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,2022-05-12T23:13:20.383Z,0.07012,10837700865.0,-407927830.3855667,-3.62743,10.0,,Dogecoin,-0.0040497929807265,-4.73212,,,,,doge,,2035289920.0
